book_id,book_title,language,speaker_id,section_id,section_number,section_title,playtime,audio_link,file_id
13945,"Life and Times of Kateri Tekakwitha, The Lily of the Mohawks",English,12055,461267,1,Preface,578,https://www.archive.org/download/kateri_tekakwitha_cp_1906_librivox/lifeandtimesofkateritekakwith_01_walworth.mp3,lifeandtimesofkateritekakwith_01_walworth
13946,Lucian's Dialogues Volume 1: The Dialogues of the Gods,English,12500,461298,1,Preface,2001,https://www.archive.org/download/dialogues_of_the_gods_1909_librivox/dialoguesofthegods_00_lucian.mp3,dialoguesofthegods_00_lucian
13947,"Lives of the Most Eminent Painters, Sculptors and Architects Vol 6",English,13257,461385,1,"Lives of Fra Giocondo, Liberale, and Other Craftsmen of Verona, part 1",1183,https://www.archive.org/download/lives_of_the_most_eminent_painters_06_librivox/livesofpainters6_01_vasari.mp3,livesofpainters6_01_vasari
13948,Herb of Grace,English,174,461419,1,INTRODUCES A LOVER OF THE PICTURESQUE,1178,https://www.archive.org/download/herbofgrace_2004_librivox/herbofgrace_01_carey.mp3,herbofgrace_01_carey
13949,Time Machine (Version 6),English,13272,461463,1,Chapter 1,608,https://www.archive.org/download/time_machine_v6_2008_librivox/timemachine_01_wells.mp3,timemachine_01_wells
13951,Poems,English,8425,461478,1,Renascence,589,https://www.archive.org/download/poems_millay_1904_librivox/poems_01_stvincentmillay.mp3,poems_01_stvincentmillay
13952,Before Edgehill Fight,English,8786,461549,1,Before Edgehill FIght - Read by BK,148,https://www.archive.org/download/before_edgehill_fight_1904.poem_librivox/edgehill_kipling_bk.mp3,edgehill_kipling_bk
13953,Man-Eater,English,11814,461566,1,Prologue,704,https://www.archive.org/download/maneater_1905_librivox/maneater_00_burroughs.mp3,maneater_00_burroughs
13954,Supreme Cases from 1803-2018,English,11466,461578,1,"Marbury v. Madison, 5 U.S. 137 decided February 24, 1803 Part 1",2095,https://www.archive.org/download/supreme_cases_1803-2010_1910_librivox/supreme_cases_1803-2010_01_ussc.mp3,supreme_cases_1803-2010_01_ussc
13957,Book of American Explorers,English,8425,461659,1,Preface,177,https://www.archive.org/download/book_american_explorers_1907_librivox/bookofamericanexplorers_00_higginson.mp3,bookofamericanexplorers_00_higginson
13958,Abysmal Brute,English,11223,461738,1,Chapters 1 & 2,1930,https://www.archive.org/download/the_abysmal_brute_2012_librivox/abysmalbrute_01_london.mp3,abysmalbrute_01_london
13959,Tea: Its Mystery and History,English,10244,461745,1,Introduction,495,https://www.archive.org/download/tea_itsmystery_1905_librivox/tea_00_day.mp3,tea_00_day
13960,Boy Scouts in the Rockies,English,5183,461757,1,Perils of the Mountain Trail,779,https://www.archive.org/download/boy_scouts_rockies_1907_librivox/boyscoutsrockies_01_carter.mp3,boyscoutsrockies_01_carter
13961,Short Story Collection Vol. 080,English,9500,461799,1,In the Avu Observatory by H. G. Wells,1023,https://www.archive.org/download/ss_080_1906_librivox/ss_080_01_various.mp3,ss_080_01_various
13962,Plow Stories,English,12918,461805,1,Introduction,331,https://www.archive.org/download/plow_stories_1905_librivox/plow_stories_01_pierson.mp3,plow_stories_01_pierson
13963,Luggage of Life,English,6281,461815,1,By Way of Introduction,85,https://www.archive.org/download/luggageoflife_1908_librivox/luggageoflife_01_boreham.mp3,luggageoflife_01_boreham
13964,Elephant Man and other reminiscences,English,6281,461848,1,The Elephant Man,2508,https://www.archive.org/download/theelephantman_1906_librivox/elephantman_01_treves.mp3,elephantman_01_treves
13965,Book of Saints and Friendly Beasts,English,5717,474116,1,Saint Bridget and the King's Wolf,824,https://www.archive.org/download/saintsandfriendlybeasts_1909_librivox/saintsandbeasts_01_brown.mp3,saintsandbeasts_01_brown
13966,"World’s Story Volume VII: Germany, the Netherlands and Switzerland",English,10179,461910,1,"Thusnelda in the triumphal procession of Germanicus, by Karl Theodor von Piloty (born at Munich, October 1, 1826. Died there, July 21, 1886), painting frontispiece",169,https://www.archive.org/download/worlds_story_vii_germany_netherlands_switzerland_1908_librivox/worldstory_volume07_001_tappan.mp3,worldstory_volume07_001_tappan
13967,History of California: The American Period,English,4856,462020,1,00 Preface,471,https://www.archive.org/download/historyofcalifornia_americanperiod_1907_librivox/californiaamericanperiod_00_cleland.mp3,californiaamericanperiod_00_cleland
13968,1900 or The Last President,English,9392,462051,1,Chapters 1-3,1130,https://www.archive.org/download/1900lastpresident_1904_librivox/1900orthelastpresident_01_lockwood.mp3,1900orthelastpresident_01_lockwood
13969,Encyclical Letters of Pope Leo XIII,English,4705,462055,1,"Inscrutabili Dei Consilio (On the Evils of Society) April 21, 1878",1740,https://www.archive.org/download/encyclicalspopeleoxiii_2111_librivox/encyclical_01_leoxiii.mp3,encyclical_01_leoxiii
13971,Coffee Break Collection 019 - Plants and Flowers,English,10244,462118,1,A-B-C of Vegetable Gardening by Eben E. Rexford,347,https://www.archive.org/download/cb019_plants_flowers_1905_librivox/cb019_01_various.mp3,cb019_01_various
13973,On The Sea,English,8786,462149,1,On The Sea - Read by BK,179,https://www.archive.org/download/on_the_sea_1904.poem_librivox/onthesea_turgenev_bk.mp3,onthesea_turgenev_bk
13975,Honey-Bee,English,11007,462187,1,Introduction,219,https://www.archive.org/download/honey-bee_kf_1906_librivox/honeybee_00_france.mp3,honeybee_00_france
13976,Regiment of Women,English,12734,462195,1,Chapter 1,1103,https://www.archive.org/download/regiment_of_women_2008_librivox/regiment_women_01_dane.mp3,regiment_women_01_dane
13978,"Short Nonfiction Collection, Vol. 065",English,11607,462316,1,A Boy's Essay On Girls,86,https://www.archive.org/download/nonfiction065_1906_librivox/snf065_boysessayongirls_unknown_dg.mp3,snf065_boysessayongirls_unknown_dg
13979,Washington and the Riddle of Peace,English,8138,462337,1,"Introduction, and The Immensity of the Issue and the Triviality of Men",1443,https://www.archive.org/download/washington_riddle_of_peace_ls_1907_librivox/washingtonandtheriddleofpeace_01_wells.mp3,washingtonandtheriddleofpeace_01_wells
13980,Queen's Necklace,English,5588,462365,1,"PROLOGUE, Part I.  THE PREDICTIONS",785,https://www.archive.org/download/queens_necklace_1911_librivox/queensnecklace_01_dumas.mp3,queensnecklace_01_dumas
13981,Bible (DBY) NT 11: Philippians,English,9510,462415,1,Chapter 1,341,https://www.archive.org/download/philippians_darby_1904_librivox/philippians_01_darby.mp3,philippians_01_darby
13983,Report On The Investigation Into Russian Interference In The 2016 Presidential Election,English,908,462430,1,Introduction to Volume I,484,https://www.archive.org/download/report_russianinterference_2016election_1909_librivox/report2016electioninterference_00_mueller.mp3,report2016electioninterference_00_mueller
13984,Frigid Fracas,English,11607,462510,1,I,1250,https://www.archive.org/download/frigid_fracas_1906_librivox/frigid_fracas_01_reynolds.mp3,frigid_fracas_01_reynolds
13985,Nutcracker and Mouse-King (version 2),English,13142,462532,1,Christmas Eve,378,https://www.archive.org/download/nutcracker_and_mouse-king_version_2_2005_librivox/nutcrackermouse_01_hoffmann.mp3,nutcrackermouse_01_hoffmann
13986,Sentry of the Sky,English,251,462547,1,Part 1,2135,https://www.archive.org/download/sentry_of_the_sky_1904_librivox/sentryofthesky_01_smith.mp3,sentryofthesky_01_smith
13989,Snowball,English,5872,462584,1,Section 1,769,https://www.archive.org/download/snowball_1905_librivox/snowball_01_anderson.mp3,snowball_01_anderson
13990,Wet Day,English,13310,462608,1,A Wet Day - Read by BD,110,https://www.archive.org/download/wet_day_1904.poem_librivox/wetday_cawein_bd.mp3,wetday_cawein_bd
13991,Lady's Mile,English,13257,462616,1,He is but a landscape-painter,2091,https://www.archive.org/download/ladysmile_2006_librivox/ladysmile_01_braddon.mp3,ladysmile_01_braddon
13992,"Sketches by Boz, version 2",English,9905,462652,1,PREFACE - OUR PARISH CHAPTER I—THE BEADLE.  THE PARISH ENGINE.  THE SCHOOLMASTER,807,https://www.archive.org/download/sketches_by_boz_ver_2_2002_librivox/sketchesbybozv2_01_dickens.mp3,sketchesbybozv2_01_dickens
13993,Fruits of the Spirit,English,6281,462710,1,Preface & Introduction,597,https://www.archive.org/download/fruitsofspirit_1906_librivox/fruitsofthespirit_00_mabie.mp3,fruitsofthespirit_00_mabie
13994,Poems of Madison Cawein Vol. 3,English,8425,462766,1,Prologue,162,https://www.archive.org/download/poems_madison_cawein_3_1907_librivox/poemscawein3_001_cawein.mp3,poemscawein3_001_cawein
13995,Golden Slave,English,251,463007,1,Chapter I,1301,https://www.archive.org/download/the_golden_slave_1905_librivox/goldenslave_01_anderson.mp3,goldenslave_01_anderson
13996,Shakespeare Sonnet 29,English,13310,463044,1,"Sonnet 29, Read by BD",82,https://www.archive.org/download/sonnet29_1905.poem_librivox/sonnet29_shakespeare_bd.mp3,sonnet29_shakespeare_bd
13997,Boys' and Girls' Pliny Vol. 3,English,12500,463052,1,Bk. 5 Ch. 1 - The Dog: Examples of its Attachment to its Master,455,https://www.archive.org/download/boysgirlspliny3_1905_librivox/boysgirlspliny3_01_pliny.mp3,boysgirlspliny3_01_pliny
13998,Buster Bear's Twins,English,8425,463080,1,Mother Bear’s Secret,289,https://www.archive.org/download/buster_bears_twins_1907_librivox/busterbearstwins_01_burgess.mp3,busterbearstwins_01_burgess
14000,Baled Hay: A Drier Book than Walt Whitman's ''Leaves o' Grass'',English,11331,463181,1,DEDICATION.; BALED HAY,839,https://www.archive.org/download/baled_hay_a_drier_book_1905_librivox/baledhay_01_nye.mp3,baledhay_01_nye
14001,England In The Middle Ages,English,13278,463211,1,Preface,136,https://www.archive.org/download/england_middleages_1910_librivox/englandinthemiddleages_00_oneill.mp3,englandinthemiddleages_00_oneill
14002,Byzantine Empire,English,6281,463221,1,Preface,199,https://www.archive.org/download/byzantineempire_1907_librivox/byzantineempire_00_foord.mp3,byzantineempire_00_foord
14003,Little Freckled Person: A Book of Child Verse,English,13123,463241,1,"A little Freckled Person, The Selfish Sea, The Rabbit, The Uncritical Kitten, Next-Door People, Probation, Perhaps!, ‘Fraid Stars, The Stars, As You Would Be Done By",265,https://www.archive.org/download/little_freckled_person_1906_librivox/littlefreckledperson_1_davies.mp3,littlefreckledperson_1_davies
14006,Oracles of Nostradamus,English,13257,463276,1,Dedication & 3 Prophecies of Old Time,227,https://www.archive.org/download/oraclesofnostradamus_2106_librivox/oraclesofnostradamus_01_ward.mp3,oraclesofnostradamus_01_ward
14007,Amphibians and Reptiles in Captivity,English,4744,463302,1,Introduction,123,https://www.archive.org/download/amphibians_1910_librivox/amphibians_01_coxwell.mp3,amphibians_01_coxwell
14008,Cartels Jungle,English,11331,463308,1,the cartels jungle; II; III,1752,https://www.archive.org/download/the_cartels_jungle_1905_librivox/cartelsjungle_01_cox.mp3,cartelsjungle_01_cox
14009,Man with the Hoe and Other Poems,English,8425,463313,1,The Man with the Hoe,186,https://www.archive.org/download/man_with_hoe_1911_librivox/manwiththehoe_01_markham.mp3,manwiththehoe_01_markham
14010,"To S. M. A Young African Painter, On Seeing His Works",English,8786,463392,1,"To S. M. A Young African Painter, On Seeing His Works - Read by BK",180,https://www.archive.org/download/young_african_painter_1905.poem_librivox/africanpainter_wheatley_bk.mp3,africanpainter_wheatley_bk
14011,"South American Republics, Part I",English,6892,463406,1,INTRODUCTORY: THE DISCOVERIES AND THE CONQUEST part 1,1283,https://www.archive.org/download/southamericanrepublics1_1906_librivox/southamericanrepublics1_01_dawson.mp3,southamericanrepublics1_01_dawson
14012,Little Susy's Little Servants,English,10594,463458,1,"First Series, Chapter 1",228,https://www.archive.org/download/littlesusyslittleservants_1909_librivox/littleservants_01_prentiss.mp3,littleservants_01_prentiss
14013,Quit Your Worrying!,English,11884,463484,1,Introduction,538,https://www.archive.org/download/quityourworrying_1906_librivox/quityourworrying_00_james.mp3,quityourworrying_00_james
