speaker_id,playtime,audio_link
15104,4708,https://www.archive.org/download/theory_monads_2102_librivox/theoryofmonads_06_carr.mp3
17157,4580,https://www.archive.org/download/ghohor059_2203_librivox/ghohor059_southwestchamber_freeman_nt.mp3
16398,4524,https://www.archive.org/download/old_church_clock_2108_librivox/oldchurchclock_00_parkinson.mp3
17363,4425,https://www.archive.org/download/childrensshortworks049_2206_librivox/csw049_lazylawrence_hm.mp3
16361,4314,https://www.archive.org/download/ideala_2109_librivox/ideala_11_grand.mp3
15432,4235,https://www.archive.org/download/ghohor049_2102_librivox/ghohor049_dreamofarmageddon_wells_mjr.mp3
13511,4218,https://www.archive.org/download/commonlaw_2011_librivox/commonlaw_11_holmes.mp3
13313,4191,https://www.archive.org/download/report_russianinterference_2016election_1909_librivox/report2016electioninterference_17_mueller.mp3
18238,4170,https://www.archive.org/download/ssf090_2302_librivox/ssf090_13_various.mp3
9738,4093,https://www.archive.org/download/philosophical_essays_2004_librivox/philosophicalessays_02_russell.mp3
5993,4089,https://www.archive.org/download/manwhoknewtoomuchversion2_2410_librivox/manwhoknewtoomuch_07_chesterton.mp3
15740,4085,https://www.archive.org/download/snf082_2105_librivox/snf082_dreams_bergson_saoussen.mp3
12699,4004,https://www.archive.org/download/historyofphilosophy_2006_librivox/historyofphilosophy_53_turner.mp3
13352,3991,https://www.archive.org/download/ssf_069_2007_librivox/ssf_069_13_various.mp3
15742,3940,https://www.archive.org/download/insomnia5_2110_librivox/ins005_sleep_myers.mp3
17148,3882,https://www.archive.org/download/guermantes_way_2307_librivox/guermantesway_20_proust.mp3
5007,3877,https://www.archive.org/download/report_russianinterference_2016election_1909_librivox/report2016electioninterference_26_mueller.mp3
16908,3852,https://www.archive.org/download/sms13_2206_librivox/sms13_13_various.mp3
19,3776,https://www.archive.org/download/greatgatsby_2101_librivox/greatgatsby_07_fitzgerald.mp3
13999,3701,https://www.archive.org/download/ss086_2004_librivox/ss086_appletreetable_dgn.mp3
19128,3670,https://www.archive.org/download/oldfrenchromances_2402_librivox/oldfrenchromances_04_morris.mp3
7832,3621,https://www.archive.org/download/dwellerontwoplanets_2212_librivox/dwellerontwoplanets_25_oliver.mp3
16619,3601,https://www.archive.org/download/insomnia006_2408_librivox/insomniacollection6_08_various.mp3
15601,3594,https://www.archive.org/download/ssf_076_2103_librivox/ssf076_03_various.mp3
18619,3589,https://www.archive.org/download/spirit_cure_ars_sc_2306_librivox/spiritofthecureofars_03_monnin.mp3
19615,3583,https://www.archive.org/download/ghohor074_2409_librivox/ghohor074_ghoststantonhall_anon_dh.mp3
12629,3550,https://www.archive.org/download/ghohor039_2006_librivox/ghohor039_deadsmile_crawford_rb.mp3
14467,3550,https://www.archive.org/download/self-control_2102_librivox/selfcontrol_27_brunton.mp3
14692,3535,https://www.archive.org/download/ssf_070_2008_librivox/ssf_070_07_various.mp3
6687,3519,https://www.archive.org/download/20shortsfstories_1908_librivox/20shortsfstories_05_various.mp3
16765,3514,https://www.archive.org/download/ghohor057_2112_librivox/ghohor057_deadsmile_crawford_cnc.mp3
12568,3496,https://www.archive.org/download/report_russianinterference_2016election_1909_librivox/report2016electioninterference_04_mueller.mp3
13651,3490,https://www.archive.org/download/sasha_2010_librivox/sasha_01_kuprin.mp3
10233,3471,https://www.archive.org/download/historyofnewengland_2012_librivox/historyofnewengland_14_winthrop.mp3
15442,3465,https://www.archive.org/download/ssc095_2101_librivox/ss095_14_various.mp3
13641,3460,https://www.archive.org/download/historyofphilosophy_2006_librivox/historyofphilosophy_55_turner.mp3
19590,3444,https://www.archive.org/download/ssc111_2409_librivox/ssc111_14_various.mp3
17469,3440,https://www.archive.org/download/improvement_of_the_mind_2207_librivox/improvementmind_13_watts.mp3
15721,3438,https://www.archive.org/download/spirits_book_2201_librivox/spiritsbook_13_kardec.mp3
6660,3411,https://www.archive.org/download/diaryofsamuelpepys1663_2101_librivox/diaryofsamuelpepys1663_13_pepys.mp3
13058,3394,https://www.archive.org/download/friendofmarieantoinette_2409_librivox/friendofmarieantoinette_02_barbey.mp3
15278,3394,https://www.archive.org/download/theory_monads_2102_librivox/theoryofmonads_12_carr.mp3
18275,3370,https://www.archive.org/download/boytravellersrussian_2308_librivox/boytravellersrussian_12_knox.mp3
16984,3366,https://www.archive.org/download/incredulityfrbrown_2201_librivox/incredulityfrbrown_04_chesterton.mp3
12284,3294,https://www.archive.org/download/uncannystories_2007_librivox/uncannystories_05_sinclair.mp3
18322,3277,https://www.archive.org/download/bestshortstories1917_2310_librivox/bestshortstories1917_28_various.mp3
17714,3264,https://www.archive.org/download/sadyoungmen_2301_librivox/allthesadyoungmen_03_fitzgerald.mp3
17260,3257,https://www.archive.org/download/ssf085_2204_librivox/ssf085_10_various.mp3
13228,3213,https://www.archive.org/download/short_science_fiction_collection_066_1910_librivox/ssf066_12_various.mp3
13378,3210,https://www.archive.org/download/ontologyorthetheoryofbeing_2201_librivox/ontology_03_coffey.mp3
3617,3205,https://www.archive.org/download/clever_hans_2109_librivox/cleverhans_04_pfungst.mp3
18075,3191,https://www.archive.org/download/land_midian_revisited_2311_librivox/midian_revisited_10_burton.mp3
16376,3185,https://www.archive.org/download/othello_2108_librivox/othello_04_shakespeare.mp3
15615,3169,https://www.archive.org/download/hinduism_and_buddhism_3_2112_librivox/hinduismandbuddhism3_04_eliot.mp3
19277,3166,https://www.archive.org/download/whattoeatandwhen_2408_librivox/whattoeat_04_cocroft.mp3
7981,3159,https://www.archive.org/download/autobiography_artists_composers_2303_librivox/artistsandcomposers_03_iles.mp3
14957,3155,https://www.archive.org/download/vietnam_2011_librivox/vietnamto1965_13_futrell.mp3
12036,3146,https://www.archive.org/download/fifty_years_1909_librivox/fiftyyearsadetective_05_furlong.mp3
15299,3137,https://www.archive.org/download/sotu_us_1923_1932_2106_librivox/stateoftheunion_1923_1932_01_various.mp3
16466,3118,https://www.archive.org/download/worlds_best_literature_13_2201_librivox/worldsbestliterature13_29_various.mp3
15839,3114,https://www.archive.org/download/heart_of_a_dog_2108_librivox/heartofadog_03_terhune.mp3
15300,3109,https://www.archive.org/download/ssf_073_2012_librivox/ssf_073_11_various.mp3
18941,3095,https://www.archive.org/download/around_the_clock_in_europe_2311_librivox/aroundtheclockineurope_03_howell.mp3
18242,3090,https://www.archive.org/download/ssf090_2302_librivox/ssf090_05_various.mp3
18436,3079,https://www.archive.org/download/outline_2403_librivox/outline_25_gowen.mp3
13636,3078,https://www.archive.org/download/ttembarom_2105_librivox/ttembarom_15_burnett.mp3
16543,3074,https://www.archive.org/download/studies_in_word-association_2209_librivox/wordassociation_41_jung.mp3
18649,3071,https://www.archive.org/download/history_greatwar3_2311_librivox/historygreatwar3_20_buchan.mp3
19010,3059,https://www.archive.org/download/weird_tales_presents_web_of_the_spider_2311_librivox/webofthespider_10_various.mp3
15647,3055,https://www.archive.org/download/cambridgemodernhistory2_2108_librivox/cambridgemodernhistory2_27.mp3
19366,3050,https://www.archive.org/download/shortstorycollection109_2405_librivox/ssc109_14_various.mp3
15710,3029,https://www.archive.org/download/wild_animals_at_home_2103_librivox/wildanimalsathome_04_seton.mp3
11777,3026,https://www.archive.org/download/ttembarom_2105_librivox/ttembarom_06_burnett.mp3
15940,3024,https://www.archive.org/download/hinduism_and_buddhism_3_2112_librivox/hinduismandbuddhism3_11_eliot.mp3
2816,3021,https://www.archive.org/download/snf078_2011_librivox/snf078_moralsdogmafreemasonry1_pike_as.mp3
18795,3015,https://www.archive.org/download/demonology_2311_librivox/demonology_09_thacher.mp3
14352,3005,https://www.archive.org/download/christmas_carol_2101_librivox/christmascarol_03_dickens.mp3
18752,2991,https://www.archive.org/download/around_the_clock_in_europe_2311_librivox/aroundtheclockineurope_07_howell.mp3
13339,2989,https://www.archive.org/download/empireofbusiness_2010_librivox/empireofbusiness_05_carnegie.mp3
15530,2969,https://www.archive.org/download/insomnia5_2110_librivox/ins005_knots_encyclopediabritannica.mp3
18144,2956,https://www.archive.org/download/casebookholmes_2304_librivox/casebook_02_doyle.mp3
16446,2956,https://www.archive.org/download/youngersister_2201_librivox/youngersister_22_hubback.mp3
18298,2949,https://www.archive.org/download/bestshortstories1917_2310_librivox/bestshortstories1917_15_various.mp3
18501,2940,https://www.archive.org/download/insideofthecup_2401_librivox/insideofthecup_10_churchill.mp3
14839,2939,https://www.archive.org/download/expositionspsalmsvol1_2011_librivox/psalms1_29_augustine.mp3
17803,2928,https://www.archive.org/download/fabian_essays_in_socialism_2301_librivox/fabianessays_09_shaw.mp3
16632,2915,https://www.archive.org/download/anecdotes_2203_librivox/anecdotes_01_lee.mp3
14432,2909,https://www.archive.org/download/sasha_2010_librivox/sasha_06_kuprin.mp3
19627,2891,https://www.archive.org/download/titanicsinking_2411_librivox/sinkingofthetitanic_18_mowbray.mp3
11662,2888,https://www.archive.org/download/botany_2403_librivox/botany_09_wright.mp3
14741,2874,https://archive.org/download/greatevents15_2410_librivox/greatevents15_40_horne.mp3
14672,2873,https://www.archive.org/download/science_history_of_the_universe_vol_7_2010_librivox/histofuniversevol7_07_wheeler.mp3
11748,2868,https://www.archive.org/download/encyclicalspopeleoxiii_2111_librivox/encyclical_22_leoxiii.mp3
14751,2862,https://www.archive.org/download/ssf_070_2008_librivox/ssf_070_18_various.mp3
19035,2848,https://www.archive.org/download/insideofthecup_2401_librivox/insideofthecup_32_churchill.mp3
16153,2843,https://www.archive.org/download/ssf_080_2108_librivox/ssf_080_01_various.mp3
18886,2840,https://www.archive.org/download/manwhoknewtoomuchversion2_2410_librivox/manwhoknewtoomuch_05_chesterton.mp3
2607,2837,https://www.archive.org/download/the_prophet_version_5_2303_librivox/prophet_01_gibran.mp3
8011,2831,https://www.archive.org/download/rover_01_24_2111_librivox/rover0124_3_various.mp3
16102,2818,https://www.archive.org/download/syriadesertsown_2105_librivox/syriadesertsown_10_bell.mp3
14965,2812,https://www.archive.org/download/ssf_071_2010_librivox/ssf071_15_various.mp3
15377,2812,https://www.archive.org/download/roman_religion_2101_librivox/romanreligion_15_fowler.mp3
15826,2811,https://www.archive.org/download/hinduism_and_buddhism_3_2112_librivox/hinduismandbuddhism3_10_eliot.mp3
10231,2806,https://www.archive.org/download/jewelmystery_2411_librivox/jewelmysteries_09_pemberton.mp3
19288,2799,https://www.archive.org/download/ghohor072_2403_librivox/ghohor072_emptyhouse_blackwood_tf.mp3
14128,2795,https://www.archive.org/download/heartofdarkness3_2009_librivox/heartofdarkness_01_conrad.mp3
4687,2790,https://www.archive.org/download/all_about_coffee_2212_librivox/allaboutcoffee_47_ukers.mp3
18999,2787,https://www.archive.org/download/carolinetheillustriousvol1_2401_librivox/caroline1_08_wilkins.mp3
16949,2765,https://www.archive.org/download/treve_2202_librivox/treve_04_terhune.mp3
19206,2760,https://www.archive.org/download/lollywillowes_2407_librivox/lollywillowes_09_warner.mp3
14886,2760,https://www.archive.org/download/out_of_the_closet_2202_librivox/outofthecloset_21_various.mp3
19026,2753,https://www.archive.org/download/historygreatwarvolume4_2403_librivox/historygreatwar4_04_buchan.mp3
15781,2750,https://www.archive.org/download/othello_2108_librivox/othello_01_shakespeare.mp3
18626,2744,https://www.archive.org/download/ladychatterleyslover_2404_librivox/ladychatterleyslover_17_lawrence.mp3
13660,2734,https://www.archive.org/download/heartofdarkness3_2009_librivox/heartofdarkness_04_conrad.mp3
16044,2731,https://www.archive.org/download/ukridge_2107_librivox/ukridge_09_wodehouse.mp3
18724,2725,https://www.archive.org/download/thrillbook_vol1no3_2309_librivox/thrillbookvol1no3_03_various.mp3
17471,2722,https://www.archive.org/download/moralityofmarriage_2302_librivox/moralityofmarriage_01_caird.mp3
15747,2720,https://www.archive.org/download/ssf077_2104_librivox/ssf077_14_various.mp3
